Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
13.838,121957,4347,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
14.325,122661,704,P3 Left Arm On,"Before
-10 from thsi cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
14.815,123078,417,P2 Left Arm,"Before
- 10 from this cell
+10 from prev. cell",ALL_OFF,,,,,,,,,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
15.278,123614,536,P1 Left Arm,"Before
- 10 from this cell
+10 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,ALL_OFF,,,,,,,,
15.69,123911,297,P4 Left Arm,"Before
- 10 from this cell
+10 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0
16.2,124447,536,P4 Right Arm,"Before
- 10 from this cell
+10 from prev. cell",,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
16.719,124923,476,P1 Right Arm,"Before
- 10 from this cell
+10 from prev. cell",BOTH_ARMS,,,,,,,,,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
16.719,125459,536,P2 Right Arm,"Before
- 10 from this cell
+10 from prev. cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,,1,0,0,0,0,0,0,0,BOTH_ARMS,,,,,,,,
17.645,125816,357,P3 Right Arm,"Before
- 10 from this cell
+10 from prev. cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,
25.772,134814,8998,P4 Arms Off,"After? (Have not done this yet)
+10 from prev cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,135052,238,P1 Arms Off,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,135290,238,P2 Arms Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,
,135588,298,P3 Arms Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
